corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot	author_wikidata_id	work_wikidata_id
ELTeC-deu	DEU014	DEU014	Tieck, Ludwig	Vittoria Accorombona	1773	1853	M	http://d-nb.info/gnd/12989432X	1840	1840		1963			de	123077			long	high	T1	Q57239	Q1403207
ELTeC-deu	DEU015	DEU015	Arnim, Bettina von	Die Günderode	1785	1859	F	http://d-nb.info/gnd/118504185	1840	1840		1959			de	176011			long	high	T1	Q57236	Q42190652
ELTeC-deu	DEU007	DEU007	Stifter, Adalbert	Die Mappe meines Urgroßvaters	1805	1868	M	http://d-nb.info/gnd/118618156	1841	1841		1959			de	82220			medium	high	T1	Q168542	Q111239487
ELTeC-deu	DEU023	DEU023	Stifter, Adalbert	Feldblumen	1805	1868	M	http://d-nb.info/gnd/118618156	1841	1841		1959			de	43934			short	high	T1	Q168542	Q111239504
ELTeC-deu	DEU017	DEU017	Stifter, Adalbert	Die Narrenburg	1805	1868	M	http://d-nb.info/gnd/118618156	1843	1843		1959			de	41879			short	unspecified	T1	Q168542	Q21328513
ELTeC-deu	DEU021	DEU021	Lewald, Fanny	Jenny	1811	1889	F	http://d-nb.info/gnd/118572393	1843	1843		1872			de	111473			long	low	T1	Q77318	Q111239566
ELTeC-deu	DEU022	DEU022	Arnim, Bettina von	Clemens Brentanos Frühlingskranz	1785	1859	F	http://d-nb.info/gnd/118572393	1844	1844		1959			de	108645			long	high	T1	Q77318	Q42187988
ELTeC-deu	DEU001	DEU001	Willkomm, Ernst Adolf	Weisse Sclaven oder die Leiden des Volkes	1810	1886	M	http://d-nb.info/gnd/11739467X	1845	1845		1845			de	322371			long	low	T1	Q126789	Q111239632
ELTeC-deu	DEU018	DEU018	Schopenhauer, Adele	Anna	1797	1849	F	http://d-nb.info/gnd/11880510X	1845	1845		1845			de	105286			long	low	T1	Q75090	Q111239424
ELTeC-deu	DEU016	DEU016	Gerstäcker, Friedrich	Die Regulatoren in Arkansas. Aus dem Waldleben Amerikas	1816	1872	M	http://d-nb.info/gnd/118538810	1846	1846					de	183061			long	low	T1	Q77478	Q110879272
ELTeC-deu	DEU020	DEU020	              	Sibylle	1805	1880	F	http://d-nb.info/gnd/118544918	1846	1846		1846			de	131733			long	low	T1	Q92101	Q111239613
ELTeC-deu	DEU019	DEU019	Stifter, Adalbert	Zwei Schwestern	1805	1868	M	http://d-nb.info/gnd/118618156	1846	1846		1959			de	58315			medium	unspecified	T1	Q168542	Q110757065
ELTeC-deu	DEU012	DEU012	Aston, Louise	Aus dem Leben einer Frau	1814	1871	F	http://d-nb.info/gnd/118650769	1847	1847		1847			de	27975			short	high	T1	Q67888	Q101323690
